Number of path segments
0
Mode x y z pmod param
1 0.02 0.00775 0.15625000 0 18.0
0 0.14 0.00775 0.15625000 1 0.003935
1 0.14 0.00775 0.15625000 0 15.0
1 0.14 0.00475 0.15781250 0 3.0 
0 0.02 0.00475 0.15781250 1 0.003935
1 0.02 0.00775 0.15781250 0 18.0
0 0.14 0.00775 0.15781250 1 0.003935
1 0.14 0.00775 0.15781250 0 15.0
1 0.14 0.00475 0.15937500 0 3.0 
0 0.02 0.00475 0.15937500 1 0.003935
1 0.02 0.00775 0.15937500 0 18.0
0 0.14 0.00775 0.15937500 1 0.003935
1 0.14 0.00775 0.15937500 0 15.0
1 0.14 0.00475 0.16093750 0 3.0 
0 0.02 0.00475 0.16093750 1 0.003935
1 0.02 0.00775 0.16093750 0 18.0
0 0.14 0.00775 0.16093750 1 0.003935
1 0.14 0.00775 0.16093750 0 15.0
1 0.14 0.00475 0.16250000 0 3.0 
0 0.02 0.00475 0.16250000 1 0.003935
1 0.02 0.00775 0.16250000 0 18.0
0 0.14 0.00775 0.16250000 1 0.003935
1 0.14 0.00775 0.16250000 0 15.0
1 0.14 0.00475 0.16406250 0 3.0 
0 0.02 0.00475 0.16406250 1 0.003935
1 0.02 0.00775 0.16406250 0 18.0
0 0.14 0.00775 0.16406250 1 0.003935
1 0.14 0.00775 0.16406250 0 15.0
1 0.14 0.00475 0.16562500 0 3.0 
0 0.02 0.00475 0.16562500 1 0.003935
1 0.02 0.00775 0.16562500 0 18.0
0 0.14 0.00775 0.16562500 1 0.003935
1 0.14 0.00775 0.16562500 0 15.0
1 0.14 0.00475 0.16718750 0 3.0 
0 0.02 0.00475 0.16718750 1 0.003935
1 0.02 0.00775 0.16718750 0 18.0
0 0.14 0.00775 0.16718750 1 0.003935
1 0.14 0.00775 0.16718750 0 15.0
1 0.14 0.00475 0.16875000 0 3.0 
0 0.02 0.00475 0.16875000 1 0.003935
1 0.02 0.00775 0.16875000 0 18.0
0 0.14 0.00775 0.16875000 1 0.003935
1 0.14 0.00775 0.16875000 0 15.0
1 0.14 0.00475 0.17031250 0 3.0 
0 0.02 0.00475 0.17031250 1 0.003935
1 0.02 0.00775 0.17031250 0 18.0
0 0.14 0.00775 0.17031250 1 0.003935
1 0.14 0.00775 0.17031250 0 15.0
1 0.14 0.00475 0.17187500 0 3.0 
0 0.02 0.00475 0.17187500 1 0.003935
1 0.02 0.00775 0.17187500 0 18.0
0 0.14 0.00775 0.17187500 1 0.003935
1 0.14 0.00775 0.17187500 0 15.0
1 0.14 0.00475 0.17343750 0 3.0 
0 0.02 0.00475 0.17343750 1 0.003935
1 0.02 0.00775 0.17343750 0 18.0
0 0.14 0.00775 0.17343750 1 0.003935
1 0.14 0.00775 0.17343750 0 15.0
